Date,Close/Last,Open,High,Low
02/07/2018,2681.66,2690.95,2727.67,2681.33
02/06/2018,2695.14,2614.78,2701.04,2593.07
02/05/2018,2648.94,2741.06,2763.39,2638.17
02/02/2018,2762.13,2808.92,2808.92,2759.97
02/01/2018,2821.98,2816.45,2835.96,2812.70
01/31/2018,2823.81,2832.41,2839.26,2813.04
01/30/2018,2822.43,2832.74,2837.75,2818.27
01/29/2018,2853.53,2867.23,2870.62,2851.48
01/26/2018,2872.87,2847.48,2872.87,2846.18
01/25/2018,2839.25,2846.24,2848.56,2830.94
01/24/2018,2837.54,2845.42,2852.97,2824.81
01/23/2018,2839.13,2835.05,2842.24,2830.59
01/22/2018,2832.97,2809.16,2833.03,2808.12
01/19/2018,2810.30,2802.60,2810.33,2798.08
01/18/2018,2798.03,2802.40,2805.83,2792.56
01/17/2018,2802.56,2784.99,2807.04,2778.38
01/16/2018,2776.42,2798.96,2807.54,2768.64
01/12/2018,2786.24,2770.18,2787.85,2769.64
01/11/2018,2767.56,2752.97,2767.56,2752.78
01/10/2018,2748.23,2745.55,2750.80,2736.06
01/09/2018,2751.29,2751.15,2759.14,2747.86
01/08/2018,2747.71,2742.67,2748.51,2737.60
01/05/2018,2743.15,2731.33,2743.45,2727.92
01/04/2018,2723.99,2719.31,2729.29,2719.07
01/03/2018,2713.06,2697.85,2714.37,2697.77
01/02/2018,2695.81,2683.73,2695.89,2682.36
12/29/2017,2673.61,2689.15,2692.12,2673.61
12/28/2017,2687.54,2686.10,2687.66,2682.69
12/27/2017,2682.62,2682.10,2685.64,2678.91
12/26/2017,2680.50,2679.09,2682.74,2677.96
12/22/2017,2683.34,2684.22,2685.35,2678.13
12/21/2017,2684.57,2683.02,2692.64,2682.40
12/20/2017,2679.25,2688.18,2691.01,2676.11
12/19/2017,2681.47,2692.71,2694.44,2680.74
12/18/2017,2690.16,2685.92,2694.97,2685.92
12/15/2017,2675.81,2660.63,2679.63,2659.14
12/14/2017,2652.01,2665.87,2668.09,2652.01
12/13/2017,2662.85,2667.59,2671.88,2662.85
12/12/2017,2664.11,2661.73,2669.72,2659.78
12/11/2017,2659.99,2652.19,2660.33,2651.47
12/08/2017,2651.50,2646.21,2651.65,2644.10
12/07/2017,2636.98,2628.38,2640.99,2626.53
12/06/2017,2629.27,2626.24,2634.41,2624.75
12/05/2017,2629.57,2639.78,2648.72,2627.73
12/04/2017,2639.44,2657.19,2665.19,2639.03
12/01/2017,2642.22,2645.10,2650.62,2605.52
11/30/2017,2647.58,2633.93,2657.74,2633.93
11/29/2017,2626.07,2627.82,2634.89,2620.32
11/28/2017,2627.04,2605.94,2627.69,2605.44
11/27/2017,2601.42,2602.66,2606.41,2598.87
11/24/2017,2602.42,2600.42,2604.21,2600.42
11/22/2017,2597.08,2600.31,2600.94,2595.23
